origin,timestamp,on_tour,code
SEP0459,01/24/2014 07:21:01,,FVF
SEP0460,01/24/2014 07:21:06,,HC BD
SEP0461,01/24/2014 07:21:09,,FAAVR
SEP0462,01/24/2014 07:21:12,,FPUVR
SEP0463,01/24/2014 07:21:14,,MPWVR
SEP0464,01/24/2014 07:21:16,,RAAUB
SEP0465,01/24/2014 07:21:23,,RLAUB
SEP0466,01/24/2014 07:21:25,,RABBI
SEP0467,01/24/2014 07:21:26,,RAABI
SEP0468,01/24/2014 07:21:28,,FFCBI
SEP0469,01/24/2014 07:21:32,,ACIVRBI LC
SEP0470,01/24/2014 07:21:33,,FVT
SEP0471,01/24/2014 07:21:35,,SUR
SEP0472,01/24/2014 07:21:37,,FAVDU
SEP0473,01/24/2014 07:21:39,,RABDU
SEP0474,01/24/2014 07:21:43,,RAADU
SEP0475,01/24/2014 07:21:46,,FVEDU
SEP0476,01/24/2014 07:21:48,,FVEDU
SEP0477,01/24/2014 07:21:54,,RAADU
SEP0478,01/24/2014 07:21:56,,RLADU
SEP0479,01/24/2014 07:21:58,,RABVV
SEP0480,01/24/2014 07:22:03,,FAAFN
SEP0481,01/24/2014 07:22:06,,AVNFNDU
SEP0482,01/24/2014 07:22:08,,FFTFN
SEP0483,01/24/2014 07:22:10,,FLBVV
SEP0484,01/24/2014 07:22:12,,FLBBI
SEP0485,01/24/2014 07:22:14,,FLBVR
SEP0486,01/24/2014 07:22:18,,RLBDU
SEP0487,01/24/2014 07:22:19,,RLBFN
SEP0488,01/24/2014 07:22:23,,AVEFNDU
SEP0489,01/24/2014 07:22:28,,FAAUB
SEP0490,01/24/2014 07:22:34,,RLAUB
SEP0491,01/24/2014 07:22:36,,FAAUB
SEP0492,01/24/2014 07:22:37,,FAAFN
SEP0493,01/24/2014 07:22:41,,MPKFN
SEP0494,01/24/2014 07:22:51,,FABFN
SEP0495,01/24/2014 07:22:53,,YSP
SEP0496,01/24/2014 07:22:55,,XHHFN
SEP0497,01/24/2014 07:22:58,,XCCDU
SEP0498,01/24/2014 07:23:09,,SAS
SEP0499,01/24/2014 07:23:10,,FLAFN
SEP0500,01/24/2014 07:23:29,,FLBFN
SEP0501,01/24/2014 07:23:50,,OVP
SEP0502,01/24/2014 07:24:03,,IVP
SEP0503,01/24/2014 07:24:07,,StELC
SEP0504,01/24/2014 07:24:17,,FABXX
SEP0505,01/24/2014 07:24:19,,AAXX
SEP0506,01/24/2014 07:24:41,,HFLC BBBB
SEP0507,01/24/2014 07:24:47,,FCINC LC WT
SEP0508,01/24/2014 07:24:59,,HC SBSD
SEP0509,01/24/2014 07:25:20,,HFLC BD
SEP0510,01/24/2014 07:25:23,,YTT
SEP0511,01/24/2014 07:25:40,,XBBNE
SEP0512,01/24/2014 07:25:41,,SLELC
SEP0513,01/24/2014 07:25:53,,FABNE
SEP0514,01/24/2014 07:25:54,,FLBNE
SEP0515,01/24/2014 07:26:08,,FABNC
SEP0516,01/24/2014 07:26:10,,FLBNC
SEP0517,01/24/2014 07:26:13,,IVP
SEP0518,01/24/2014 07:26:24,,HB
SEP0519,01/24/2014 07:26:24,,OVP
SEP0520,01/24/2014 07:26:25,,IVP
